STT,Tên,Repo,Sao,License,Loại license,Mô tả,Nhóm,Kết luận,Lý do (tự động),Độ tin,Link
17,OpenClash,vernesong/OpenClash,26769,MIT,Mở,A Clash Client For OpenWrt,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/vernesong/OpenClash
18,OpenMAIC,THU-MAIC/OpenMAIC,19849,MIT,Mở,"Open Multi-Agent Interactive Classroom — Get an immersive, multi-agent learning experience in just one click",A,Dựng cho CEO,Web-app + license mở (bán lại thoải mái),Vừa,https://github.com/THU-MAIC/OpenMAIC
19,openpilot,commaai/openpilot,63175,MIT,Mở,"openpilot is an operating system for robotics. Currently, it upgrades the driver assistance system on 300+ supported cars.",C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/commaai/openpilot
20,Actions-OpenWrt,P3TERX/Actions-OpenWrt,7645,MIT,Mở,A template for building OpenWrt with GitHub Actions | 使用 GitHub Actions 在线云编译 OpenWrt 固件,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/P3TERX/Actions-OpenWrt
21,OpenCLI,jackwener/OpenCLI,26993,Apache-2.0,Mở,Make Any Website into CLI & Use your logged-in browser by AI agent.,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/jackwener/OpenCLI
22,OpenMythos,kyegomez/OpenMythos,14733,MIT,Mở,"A theoretical reconstruction of the Claude Mythos architecture, built from first principles using the available research literature.",C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/kyegomez/OpenMythos
23,OpenRA,OpenRA/OpenRA,17117,GPL-3.0,Copyleft,"Open Source real-time strategy game engine for early Westwood games such as Command & Conquer: Red Alert written in C# using SDL and OpenGL. Runs on Windows, Linux, *BSD and Mac OS X.",C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/OpenRA/OpenRA
24,openwrt,openwrt/openwrt,27601,NOASSERTION,Không rõ,This repository is a mirror of https://git.openwrt.org/openwrt/openwrt.git It is for reference only and is not active for check-ins.  We will continue to accept Pull Requests here. They will be merged,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/openwrt/openwrt
25,i2cdriver,jamesbowman/i2cdriver,215,BSD-3-Clause,Mở,I2CDriver open source tools,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/jamesbowman/i2cdriver
26,openssl,openssl/openssl,30486,Apache-2.0,Mở,General purpose TLS and crypto library,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/openssl/openssl
27,OpenViking,volcengine/OpenViking,27015,AGPL-3.0,Copyleft,"Self-evolving Context Database for AI Agents. Unify Agent Memory, Knowledge RAG and Skills.",A,Dựng cho CEO,"Web-app + copyleft (per-tenant OK, không giấu mã)",Vừa,https://github.com/volcengine/OpenViking
28,openai-cookbook,openai/openai-cookbook,74770,MIT,Mở,Examples and guides for using the OpenAI API,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/openai/openai-cookbook
29,OpenSearch,opensearch-project/OpenSearch,13347,Apache-2.0,Mở,🔎 Open source distributed and RESTful search engine.,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/opensearch-project/OpenSearch
30,OpenList,OpenListTeam/OpenList,23625,AGPL-3.0,Copyleft,A new AList Fork to Anti Trust Crisis,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/OpenListTeam/OpenList
31,OpenHarness,HKUDS/OpenHarness,14948,MIT,Mở,"""OpenHarness: Open Agent Harness with a Built-in Personal Agent--Ohmo!""",A,Dựng cho CEO,Web-app + license mở (bán lại thoải mái),Vừa,https://github.com/HKUDS/OpenHarness
32,openclaude,Gitlawb/openclaude,30205,NOASSERTION,Không rõ,runs anywhere. uses anything,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/Gitlawb/openclaude
33,OpenWA,rmyndharis/OpenWA,11615,MIT,Mở,"Free, Open Source, Self-Hosted WhatsApp API Gateway",A,Dựng cho CEO,Web-app + license mở (bán lại thoải mái),Vừa,https://github.com/rmyndharis/OpenWA
34,openpose,CMU-Perceptual-Computing-Lab/openpose,34298,NOASSERTION,Không rõ,"OpenPose: Real-time multi-person keypoint detection library for body, face, hands, and foot estimation",C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/CMU-Perceptual-Computing-Lab/openpose
35,openinterpreter,openinterpreter/openinterpreter,66926,Apache-2.0,Mở,A coding agent for open models like Kimi K3,A,Dựng cho CEO,Web-app + license mở (bán lại thoải mái),Vừa,https://github.com/openinterpreter/openinterpreter
36,openFrameworks,openframeworks/openFrameworks,10404,NOASSERTION,Không rõ,openFrameworks is a community-developed cross platform toolkit for creative coding in C++.,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/openframeworks/openFrameworks
37,OpenMetadata,open-metadata/OpenMetadata,14515,Apache-2.0,Mở,"The Open Context Layer for Data and AI ,  OpenMetadata is the open platform for building trusted data context and business semantics for humans, AI assistants, and agents.",A,Dựng cho CEO,Web-app + license mở (bán lại thoải mái),Vừa,https://github.com/open-metadata/OpenMetadata
38,open-lovable,firecrawl/open-lovable,28020,MIT,Mở,🔥 Clone and recreate any website as a modern React app in seconds,A,Dựng cho CEO,Web-app + license mở (bán lại thoải mái),Vừa,https://github.com/firecrawl/open-lovable
39,OpenRefine,OpenRefine/OpenRefine,11915,BSD-3-Clause,Mở,"OpenRefine is a free, open source power tool for working with messy data and improving it",?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/OpenRefine/OpenRefine
40,Xiaomi_Kernel_OpenSource,MiCode/Xiaomi_Kernel_OpenSource,9732,—,Không rõ,Xiaomi Mobile Phone Kernel OpenSource,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/MiCode/Xiaomi_Kernel_OpenSource
41,openzeppelin-contracts,OpenZeppelin/openzeppelin-contracts,27190,MIT,Mở,OpenZeppelin Contracts is a library for secure smart contract development.,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/OpenZeppelin/openzeppelin-contracts
42,Open3D,isl-org/Open3D,13808,NOASSERTION,Không rõ,Open3D: A Modern Library for 3D Data Processing,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/isl-org/Open3D
43,open-notebook,lfnovo/open-notebook,35786,MIT,Mở,An Open Source implementation of Notebook LM with more flexibility and features,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/lfnovo/open-notebook
44,opensource.guide,github/opensource.guide,15582,CC-BY-4.0,Khác,📚 Community guides for open source creators,B,Lưu ý license,"Web-app, license khác — kiểm điều khoản bán lại",Thấp,https://github.com/github/opensource.guide
45,OpenStock,Open-Dev-Society/OpenStock,13941,AGPL-3.0,Copyleft,"OpenStock is an open-source alternative to expensive market platforms. Track real-time prices, set personalized alerts, and explore detailed company insights — built openly, for everyone, forever free",A,Dựng cho CEO,"Web-app + copyleft (per-tenant OK, không giấu mã)",Vừa,https://github.com/Open-Dev-Society/OpenStock
46,dio-lab-open-source,digitalinnovationone/dio-lab-open-source,8605,—,Không rõ,"Repositório do lab ""Contribuindo em um Projeto Open Source no GitHub"" da Digital Innovation One.",?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/digitalinnovationone/dio-lab-open-source
47,OpenCorePkg,acidanthera/OpenCorePkg,15273,BSD-3-Clause,Mở,OpenCore bootloader,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/acidanthera/OpenCorePkg
48,Open-Assistant,LAION-AI/Open-Assistant,37380,Apache-2.0,Mở,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.",A,Dựng cho CEO,Web-app + license mở (bán lại thoải mái),Vừa,https://github.com/LAION-AI/Open-Assistant
49,OpenWrt-CI,KFERMercer/OpenWrt-CI,1418,MIT,Mở,OpenWrt CI 在线集成自动编译环境,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/KFERMercer/OpenWrt-CI
50,OpenEmu,OpenEmu/OpenEmu,17650,—,Không rõ,🕹 Retro video game emulation for macOS,B,Lưu ý license,Web-app nhưng license không rõ — kiểm tay,Thấp,https://github.com/OpenEmu/OpenEmu
51,OpenFace,TadasBaltrusaitis/OpenFace,7713,NOASSERTION,Không rõ,"OpenFace – a state-of-the art tool intended for facial landmark detection, head pose estimation, facial action unit recognition, and eye-gaze estimation.",?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/TadasBaltrusaitis/OpenFace
52,OpenRCT2,OpenRCT2/OpenRCT2,15972,GPL-3.0,Copyleft,An open source re-implementation of RollerCoaster Tycoon 2 🎢,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/OpenRCT2/OpenRCT2
53,Open,Writty/Open,202,MIT,Mở,"The Open-source version of Writty, a simple text editor to help you focus on what matters.",?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/Writty/Open
54,OpenJarvis,open-jarvis/OpenJarvis,7709,Apache-2.0,Mở,"Personal AI, On Personal Devices",?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/open-jarvis/OpenJarvis
55,OpenSpeedy,game1024/OpenSpeedy,16567,—,Không rõ,🎮 An open-source game speed modifier.,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/game1024/OpenSpeedy
56,Open-Sora,hpcaitech/Open-Sora,29202,Apache-2.0,Mở,Open-Sora: Democratizing Efficient Video Production for All,A,Dựng cho CEO,Web-app + license mở (bán lại thoải mái),Vừa,https://github.com/hpcaitech/Open-Sora
57,openh264,cisco/openh264,6103,BSD-2-Clause,Mở,Open Source H.264 Codec,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/cisco/openh264
58,OpenNMT-py,OpenNMT/OpenNMT-py,7007,MIT,Mở,Open Source Neural Machine Translation and (Large) Language Models in PyTorch,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/OpenNMT/OpenNMT-py
59,OpenBLAS,OpenMathLib/OpenBLAS,7522,BSD-3-Clause,Mở,OpenBLAS is an optimized BLAS library based on GotoBLAS2 1.13 BSD version.,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/OpenMathLib/OpenBLAS
60,openapi-generator,OpenAPITools/openapi-generator,26605,Apache-2.0,Mở,"OpenAPI Generator allows generation of API client libraries (SDK generation), server stubs, documentation and configuration automatically given an OpenAPI Spec (v2, v3)",A,Dựng cho CEO,Web-app + license mở (bán lại thoải mái),Vừa,https://github.com/OpenAPITools/openapi-generator
61,OpenCore-Legacy-Patcher,dortania/OpenCore-Legacy-Patcher,17837,NOASSERTION,Không rõ,Experience macOS just like before,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/dortania/OpenCore-Legacy-Patcher
62,openMVG,openMVG/openMVG,6517,MPL-2.0,Mở,open Multiple View Geometry library. Basis for 3D computer vision and Structure from Motion.,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/openMVG/openMVG
63,android-open-project,Trinea/android-open-project,31827,Apache-2.0,Mở,"A categorized collection of Android Open Source Projects,  More powerful web version:",C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/Trinea/android-open-project
64,openhuman,tinyhumansai/openhuman,35135,GPL-3.0,Copyleft,"Your Personal AI super intelligence. A brain that builds a local-first memory of your life, a fantastic orchestrator of agent fleets and workflows, and a deep researcher.",A,Dựng cho CEO,"Web-app + copyleft (per-tenant OK, không giấu mã)",Vừa,https://github.com/tinyhumansai/openhuman
65,open,commandeer/open,148,MIT,Mở,"Commandeer is a tool built by developers for developers that solves three things in the cloud. First, we are focused on the deployment of your IAC. Secondly, we enable you to 'Test your Plumbing'. Las",?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/commandeer/open
66,OpenUSD,PixarAnimationStudios/OpenUSD,7393,NOASSERTION,Không rõ,Universal Scene Description,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/PixarAnimationStudios/OpenUSD
67,AutoBuild-OpenWrt,esirplayground/AutoBuild-OpenWrt,1824,MIT,Mở,Build OpenWrt using GitHub Actions | 使用 GitHub Actions 编译 OpenWrt | 感谢P3TERX的项目源码|感谢KFERMercer的项目源码,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/esirplayground/AutoBuild-OpenWrt
68,openscreen,siddharthvaddem/openscreen,39593,MIT,Mở,"Create stunning demos for free. Open-source, no subscriptions, no watermarks, and free for commercial use. An alternative to Screen Studio.",A,Dựng cho CEO,Web-app + license mở (bán lại thoải mái),Vừa,https://github.com/siddharthvaddem/openscreen
69,open,jeffshek/open,125,MIT,Mở,The most boring open source you've ever seen ....,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/jeffshek/open
70,OpenPCDet,open-mmlab/OpenPCDet,5656,Apache-2.0,Mở,OpenPCDet Toolbox for LiDAR-based 3D Object Detection.,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/open-mmlab/OpenPCDet
71,OpenTTD,OpenTTD/OpenTTD,8091,NOASSERTION,Không rõ,OpenTTD is an open source simulation game based upon Transport Tycoon Deluxe,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/OpenTTD/OpenTTD
72,OpenSandbox,opensandbox-group/OpenSandbox,12077,Apache-2.0,Mở,"Secure, Fast, and Extensible Sandbox runtime for AI agents.",?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/opensandbox-group/OpenSandbox
73,open,subins2000/open,42,GPL-3.0,Copyleft,An Open Source Social Network,A,Dựng cho CEO,"Web-app + copyleft (per-tenant OK, không giấu mã)",Vừa,https://github.com/subins2000/open
74,openai-python,openai/openai-python,31185,Apache-2.0,Mở,The official Python library for the OpenAI API,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/openai/openai-python
75,OpenWrt,haiibo/OpenWrt,3169,MIT,Mở,基于 Lean 源码编译的 OpenWrt 固件——适配X86、R2C、R2S、R4S、R4SE、R5C、R5S、香橙派 R1 Plus、树莓派3B、树莓派4B、R66S、R68S、M68S、H28K、H66K、H68K、H88K、H69K、E25、N1、S905x3、S922x、HK1、X96max、微加云、贝壳云、我家云、章鱼星球等,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/haiibo/OpenWrt
76,OpenCC,BYVoid/OpenCC,9845,Apache-2.0,Mở,Library for conversion between Traditional and Simplified Chinese,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/BYVoid/OpenCC
77,opencart,opencart/opencart,8166,NOASSERTION,Không rõ,A free shopping cart system. OpenCart is an open source PHP-based online e-commerce solution.,B,Lưu ý license,Web-app nhưng license không rõ — kiểm tay,Thấp,https://github.com/opencart/opencart
78,openface,cmusatyalab/openface,15430,Apache-2.0,Mở,Face recognition with deep neural networks.,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/cmusatyalab/openface
79,OpenRLHF,OpenRLHF/OpenRLHF,9828,Apache-2.0,Mở,"An Easy-to-use, Scalable and High-performance Agentic RL Framework based on Ray (PPO & DAPO & REINFORCE++ &  VLM & TIS & vLLM & Ray & Async  RL)",C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/OpenRLHF/OpenRLHF
80,oh-my-openagent,code-yeongyu/oh-my-openagent,66249,NOASSERTION,Không rõ,"omo/lazycodex: The coding agent for tokenmaxxers;the one and only agent harness for complex codebases. For your Codex, for your OpenCode",B,Lưu ý license,Web-app nhưng license không rõ — kiểm tay,Thấp,https://github.com/code-yeongyu/oh-my-openagent
81,openvpn-install,Nyr/openvpn-install,20602,MIT,Mở,"OpenVPN road warrior installer for Ubuntu, Debian, AlmaLinux, Rocky Linux, CentOS and Fedora",?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/Nyr/openvpn-install
82,openproject,opf/openproject,15611,GPL-3.0,Copyleft,"OpenProject is the leading open source project management software for product, project and portfolio management. A powerful Jira alternative with agile planning, issue tracking, roadmaps, Gantt chart",A,Dựng cho CEO,"Quản lý dự án thay Jira, Docker, GPL (đã kiểm)",Cao,https://github.com/opf/openproject
83,OpenLLM,bentoml/OpenLLM,12396,Apache-2.0,Mở,"Run any open-source LLMs, such as DeepSeek and Llama, as OpenAI compatible API endpoint in the cloud.",?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/bentoml/OpenLLM
84,openvpn,OpenVPN/openvpn,14263,NOASSERTION,Không rõ,OpenVPN  is  an open source VPN daemon,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/OpenVPN/openvpn
85,OpenShell,NVIDIA/OpenShell,7689,Apache-2.0,Mở,"OpenShell is the safe, private runtime for autonomous AI agents.",?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/NVIDIA/OpenShell
86,NIM_Duilib_Framework,netease-im/NIM_Duilib_Framework,2232,MIT,Mở,网易云信Windows应用开发框架。,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/netease-im/NIM_Duilib_Framework
87,open62541,open62541/open62541,3182,MPL-2.0,Mở,Open source implementation of OPC UA (OPC Unified Architecture) aka IEC 62541 licensed under Mozilla Public License v2.0,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/open62541/open62541
88,deepwiki-open,AsyncFuncAI/deepwiki-open,17378,MIT,Mở,Open Source DeepWiki: AI-Powered Wiki Generator for GitHub/Gitlab/Bitbucket Repositories. Join the discord: https://discord.gg/gMwThUMeme,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/AsyncFuncAI/deepwiki-open
89,Open,conradev/Open,99,—,Không rõ,Open apps from shell on iOS,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/conradev/Open
90,opencv_contrib,opencv/opencv_contrib,10143,Apache-2.0,Mở,Repository for OpenCV's extra modules,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/opencv/opencv_contrib
91,awesome-openclaw-skills,VoltAgent/awesome-openclaw-skills,51396,MIT,Mở,"The awesome collection of OpenClaw skills. 5,400+ skills filtered and categorized from the official OpenClaw Skills Registry.🦞",C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/VoltAgent/awesome-openclaw-skills
92,openlayers,openlayers/openlayers,12498,BSD-2-Clause,Mở,OpenLayers,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/openlayers/openlayers
93,openhab1-addons,openhab/openhab1-addons,3398,EPL-2.0,Khác,Add-ons for openHAB 1.x,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/openhab/openhab1-addons
94,OpenCursor,PawanOsman/OpenCursor,5934,MIT,Mở,"Open-source Cursor-like AI coding agent for VS Code — agentic chat, multi-provider LLMs (OpenAI, Ollama, llama.cpp), semantic search, and MCP support",A,Dựng cho CEO,Web-app + license mở (bán lại thoải mái),Vừa,https://github.com/PawanOsman/OpenCursor
95,OpenAlice,TraderAlice/OpenAlice,6125,AGPL-3.0,Copyleft,"Your one-person Wall Street. An AI trading agent covering equities, crypto, commodities, forex, and macro — from research through position entry, ongoing management, to exit.",C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/TraderAlice/OpenAlice
96,openvino,openvinotoolkit/openvino,10549,Apache-2.0,Mở,OpenVINO™ is an open source toolkit for optimizing and deploying AI inference,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/openvinotoolkit/openvino
97,OpenWrt-Rpi,SuLingGG/OpenWrt-Rpi,6342,MIT,Mở,Raspberry Pi & NanoPi R2S/R4S & G-Dock & x86 OpenWrt Compile Project. (Based on Github Action / Daily Update),C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/SuLingGG/OpenWrt-Rpi
98,openui5,UI5/openui5,3301,Apache-2.0,Mở,"OpenUI5 lets you build enterprise-ready web applications, responsive to all devices, running on almost any browser of your choice.",?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/UI5/openui5
99,OpenNRE,thunlp/OpenNRE,4470,MIT,Mở,An Open-Source Package for Neural Relation Extraction (NRE),?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/thunlp/OpenNRE
100,OpenSceneGraph,openscenegraph/OpenSceneGraph,3594,NOASSERTION,Không rõ,OpenSceneGraph git repository,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/openscenegraph/OpenSceneGraph
101,OpenChatKit,togethercomputer/OpenChatKit,8983,Apache-2.0,Mở,,C,Không đẩy VPS,Không mô tả / không rõ là ứng dụng,Thấp,https://github.com/togethercomputer/OpenChatKit
102,open-saas,wasp-lang/open-saas,14955,MIT,Mở,"A 100% free modern JS SaaS boilerplate (React, NodeJS, Prisma). Full-featured: Auth (email, google, github, slack, MS), Email sending, Background jobs, Landing page, Payments (Stripe, Polar.sh), Shadc",C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/wasp-lang/open-saas
103,OpenSpace,HKUDS/OpenSpace,6812,MIT,Mở,"""OpenSpace: The Quality-First Skill Hub for AI Agents"" -- https://open-space.cloud/",?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/HKUDS/OpenSpace
104,openfang,RightNow-AI/openfang,18038,Apache-2.0,Mở,Open-source Agent Operating System,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/RightNow-AI/openfang
105,openui,wandb/openui,22474,Apache-2.0,Mở,"OpenUI let's you describe UI using your imagination, then see it rendered live.",?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/wandb/openui
106,OpenDiablo2,OpenDiablo2/OpenDiablo2,11069,GPL-3.0,Copyleft,An open source re-implementation of Diablo 2,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/OpenDiablo2/OpenDiablo2
107,opennhp,OpenNHP/opennhp,13823,Apache-2.0,Mở,"A lightweight, cryptography-powered, open-source toolkit built to enforce Zero Trust security for infrastructure, applications, and data in the AI-driven world.",C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/OpenNHP/opennhp
108,OPEN,EPGOxford/OPEN,73,Apache-2.0,Mở,Open Platform for Energy Networks,A,Dựng cho CEO,Web-app + license mở (bán lại thoải mái),Vừa,https://github.com/EPGOxford/OPEN
109,OpenKE,thunlp/OpenKE,4046,—,Không rõ,An Open-Source Package for Knowledge Embedding (KE),C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/thunlp/OpenKE
